RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
578,Solaris and more,56.8,Germany,Energy & Utilities,19510189,5065100,110,17,2011
579,Frameo,56.7,Denmark,IT & Software,8684119,2259939,25,10,2015
580,Proxym France,56.7,France,IT & Software,4689766,1219169,40,10,2014
581,Omnium,56.6,Norway,IT & Software,1826775,513292,12,4,2017
582,Findynamic,56.5,Italy,"Fintech, Financial Services & Insurance",3520266,919020,30,21,2016
583,Vasco Electronics,56.5,Poland,IT & Software,23998005,5961519,196,87,2008
584,Energy Bridge,56.3,"Netherlands, Kingdom of the",Energy & Utilities,3274000,858000,11,4,2019
585,Soorce,56.1,Germany,Employment Services,59478568,15639618,320,50,2005
586,GBS,56.1,Italy,Health Care & Life Sciences,9079265,2389241,46,24,2018
587,PensionBee,56,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",27470848,7003572,198,149,2014
588,AW Personal,56,Germany,Employment Services,8477000,2231000,190,81,2016
589,Amexio Group,56,France,IT & Software,97086703,25570374,649,282,2006
590,Gerritsen Group,56,"Netherlands, Kingdom of the",Logistics & Transportation,30273976,7974916,215,70,2000
591,Kamase,56,France,Electrical Manufacturing,6865798,1809420,27,15,2010
592,Navello,55.9,Italy,Construction & Engineering,8793863,2319104,37,31,1824
593,Loop Horizon,55.8,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,3652686,935225,30,7,2019
594,Online-Phones 24,55.8,Germany,Ecommerce,30952000,8182993,18,12,2018
595,Indexa Capital Group,55.8,Spain,"Fintech, Financial Services & Insurance",4843659,1281982,38,19,2014
596,Italiana Trading Aerospace & Defense,55.7,Italy,Wholesale,3939341,1042878,7,2,2008
597,Digital Impact,55.6,"Netherlands, Kingdom of the",IT & Software,3502234,930336,16,11,2011
598,I.T.E.,55.5,Italy,Energy & Utilities,21778824,5788495,46,35,2012
599,Generation Digital,55.5,United Kingdom of Great Britain and Northern Ireland,IT & Software,2811987,724291,6,3,2017
600,P.B.L.,55.5,Italy,Manufacturing,20080615,5340707,75,15,2018
601,Arnoux Autoprestige,55.5,France,Logistics & Transportation,5418323,1441856,59,27,2001
602,Chefstore.nl,55.4,"Netherlands, Kingdom of the",Ecommerce,5363816,1430089,5,1,2017
603,3bee,55.4,Italy,IT & Software,3343717,891583,35,12,2016
604,Digex,55.4,"Netherlands, Kingdom of the",IT & Software,1627167,433910,16,5,2018
