RANK,COMPANY,CAGR_PCT,HEADQUARTERS,CATEGORY,REVENUE_2023_EUR,REVENUE_2020_EUR,EMPLOYEES_2023,EMPLOYEES_2020,FOUNDING_YEAR
800,Smart Partners,43.5,France,Management consulting,5382337,1823209,20,10,2019
801,MRPeasy,43.4,Estonia,IT & Software,4698918,1592256,27,11,2014
802,The Wave Studio,43.4,Italy,IT & Software,1758151,595867,23,6,2019
803,SolarXpert,43.4,Germany,Energy & Utilities,3705207,1257048,20,10,2017
804,EsPiù,43.4,Italy,"Professional, Scientific & Technical Services",2225520,755163,31,12,2012
805,Nethive,43.3,Italy,IT & Software,11643374,3960770,52,23,2013
806,Reformed IT,43.2,United Kingdom of Great Britain and Northern Ireland,IT & Software,1616377,532820,11,6,2019
807,Claudio Milan,43.2,Italy,Automotive,28148749,9579292,296,144,2005
808,LCS,43.2,Italy,Construction & Engineering,17811522,6064820,48,41,1998
809,Brio Group,43.2,Italy,Logistics & Transportation,40394665,13766472,685,335,2006
810,Storage Share,43,"Netherlands, Kingdom of the",Real Estate,4108890,1403928,10,5,2017
811,Les Constructeurs du Bois,43,France,Real Estate,14887989,5087783,16,10,2011
812,Edilizia e tecnologia,42.9,Italy,Construction & Engineering,3274156,1121578,13,9,2017
813,Centro Caravans Barassi,42.9,Italy,Retail,14879859,5102016,5,2,1978
814,GARDEON,42.9,Slovakia,Construction & Engineering,10702058,3670694,40,30,2013
815,Kiwus Consulting,42.7,Germany,Management consulting,1858000,639000,12,5,2019
816,Autopuzz,42.7,France,Automotive,54407112,18743001,78,54,2014
817,Tuum,42.5,Estonia,IT & Software,3682185,1273312,83,15,2019
818,Looping.nl,42.4,"Netherlands, Kingdom of the",Automotive,4091865,1415930,21,11,2019
819,Xilia,42.4,Italy,Construction & Engineering,3559072,1232359,9,4,2017
820,P3 Security,42.4,Germany,"Professional, Scientific & Technical Services",5330120,1846134,189,46,2014
821,The Source,42.4,France,Advertising & Marketing,8468978,2934746,45,26,2017
822,Ifom,42.3,Italy,Education & Social Services,1655728,574058,7,7,2015
823,Reschimica,42.3,Italy,Ecommerce,2446902,848381,5,4,1986
824,S&G Solar,42.3,Bulgaria,Energy & Utilities,11459585,3980919,13,10,2014
825,Ceetadel,42.2,France,Advertising & Marketing,17275000,6003000,130,65,2003
826,Workrate Security Group,42.2,"Netherlands, Kingdom of the","Professional, Scientific & Technical Services",101548000,35311000,1950,850,2003
827,Agryco,42.2,France,"Agriculture, Forestry & Fishing",107115460,37248117,116,62,2014
828,CRMpartners,42.2,Italy,IT & Software,4138556,1440495,36,12,2015
829,Schropp,42.2,Germany,Wholesale,11150030,3881655,3,2,2019
830,Garage Raw,42.1,Italy,Advertising & Marketing,2025417,705349,19,15,2017
831,Eversports,42.1,Austria,IT & Software,9247968,3222485,88,67,2013
832,PRO TEMPORE,42,Sweden,Management consulting,20567647,7956643,36,30,2018
833,Sallustio,41.9,Italy,Construction & Engineering,22312346,7801220,55,33,1979
834,Interim Search,41.9,Sweden,"Professional, Scientific & Technical Services",38421902,14890605,49,27,2012
835,Neofollics Hair Technology,41.9,"Netherlands, Kingdom of the",Pharmaceuticals & Cosmetics,2719000,951000,12,3,2015
836,NB Baumaschinen,41.9,Germany,Waste Management & recycling,12059090,4219224,46,16,2019
837,Equativ,41.9,France,IT & Software,377424216,132134415,548,273,2005
838,Arctic Stream,41.8,Romania,IT & Software,25768905,9031590,30,8,2017
839,Carreira Industrial Personnel,41.8,Germany,Employment Services,12241500,4292000,165,92,2010
840,Inventya,41.8,United Kingdom of Great Britain and Northern Ireland,Management consulting,5621332,1910793,54,29,2010
841,Meds Apotek,41.8,Sweden,Retail,57481144,22353027,98,60,2017
842,drjve,41.7,Germany,IT & Software,8654295,3040908,46,25,2019
843,Equal Education,41.7,United Kingdom of Great Britain and Northern Ireland,Education & Social Services,2715052,924239,19,11,2012
844,Kinga Mathe,41.7,Germany,Ecommerce,5854966,2057731,18,4,2008
845,Tradeco,41.5,Italy,Construction & Engineering,17976249,6341169,25,11,2016
846,Amexbois,41.5,France,Construction & Engineering,4808993,1696818,34,16,2007
847,Smart Battery Solutions,41.4,Germany,Electrical Manufacturing,28547450,10100000,110,65,2010
848,DVision Architecture,41.3,Italy,Construction & Engineering,11152460,3955994,10,3,2015
849,TECS Tranchina Energy Control Services,41.2,Italy,Energy & Utilities,2448701,868942,15,8,2016
850,Comenovo,41.2,Italy,Ecommerce,14184804,5039013,13,8,2019
851,La Mercurio,41.2,Italy,"Professional, Scientific & Technical Services",4040934,1436898,19,9,2016
852,Secret Key Agency,41.1,Italy,Advertising & Marketing,2983000,1061247,22,10,2013
853,The Claw Models,41.1,France,Leisure & Entertainment,5304692,1888399,19,12,2018
854,Dulàc Farmaceutici 1982,41.1,Italy,Pharmaceuticals & Cosmetics,11376365,4053791,13,4,2014
855,Fachzentrum Finanzen  - Dieter Homburg,41,Germany,"Fintech, Financial Services & Insurance",1849377,659445,10,4,1999
856,RTT,41,Italy,IT & Software,10242198,3652361,66,35,2005
857,Avalo,41,Finland,IT & Software,2140459,763350,17,10,2015
858,Comal,40.9,Italy,Energy & Utilities,58515751,20935119,267,88,2001
859,Krulo Automaterialen,40.8,"Netherlands, Kingdom of the",Automotive,3059683,1097070,14,4,2019
860,Aptic,40.7,France,Employment Services,7484906,2687617,46,13,2016
861,Vo2 Group,40.7,France,IT & Software,83374000,29945000,720,300,2011
862,Impre.DO,40.7,Italy,Construction & Engineering,69051124,24808572,177,69,2014
863,Ad's up Consulting,40.4,France,Advertising & Marketing,25984554,9380801,135,130,2012
864,Moneyfarm,40.4,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",18603667,6508375,193,138,2014
865,ingage IR,40.4,United Kingdom of Great Britain and Northern Ireland,IT & Software,3378954,1182249,19,15,2013
866,Bioburger,40.3,France,Hospitality & Travel,19681089,7131864,420,180,2011
867,DEA,40.2,Italy,Manufacturing,16836996,6109275,71,37,2011
868,NeoVAD,40.2,France,Wholesale,9999671,3629421,15,8,2015
869,team,40.1,Germany,Wholesale,5694197000,2070531000,3327,3327,1999
870,Kittle Group,40.1,United Kingdom of Great Britain and Northern Ireland,Management consulting,2242300,790758,28,12,2014
871,UNLOQ,40,"Netherlands, Kingdom of the",Employment Services,3667571,1335496,26,8,2012
872,BallereTTe,40,Italy,Apparel & Fashion,4512822,1643792,27,30,2014
873,Bredbandsval.se,40,Sweden,Media & Telecommunications,2541013,1025674,4,3,2017
874,Consorzio Stabile Agoraa,40,Italy,Construction & Engineering,33627510,12252831,16,11,2011
875,Keytech,40,Italy,IT & Software,8759531,3192161,75,36,1989
876,RA12 Registeraccountants,40,"Netherlands, Kingdom of the","Fintech, Financial Services & Insurance",3270015,1192066,24,11,2018
877,Elsewhen,39.9,United Kingdom of Great Britain and Northern Ireland,IT & Software,13088176,4628675,79,32,2011
878,Mondo Pavimenti,39.8,Italy,Wholesale,6163460,2254874,12,8,2011
879,Discoup.com,39.8,Italy,Advertising & Marketing,5669000,2075112,20,12,2013
880,Furlan Retail,39.7,Italy,Real Estate,4770014,1748875,1,1,2013
881,DYM Resources,39.6,Germany,Energy & Utilities,48867668,17943119,11,8,2016
882,La Financière d'Orion,39.6,France,"Fintech, Financial Services & Insurance",38948906,14318318,51,27,2009
883,Fawkes & Reece,39.6,United Kingdom of Great Britain and Northern Ireland,Employment Services,69204807,24657394,138,69,2001
884,TLM,39.6,Germany,Mechanical & Plant Engineering,3836967,1411714,20,8,1988
885,Farmed,39.5,Italy,Pharmaceuticals & Cosmetics,16724135,6154307,11,4,2006
886,Standard Fuel Oils,39.5,United Kingdom of Great Britain and Northern Ireland,Energy & Utilities,292797085,104490341,42,27,2011
887,Horizon Technology Group,39.5,Italy,Construction & Engineering,8447758,3113343,27,18,2014
888,Semes,39.3,Italy,Construction & Engineering,11230001,4152702,21,17,1962
889,Legimi,39.2,Poland,Leisure & Entertainment,19860676,7007082,33,12,2009
890,Morbio Costruzioni,39.1,Italy,Construction & Engineering,46585013,17290092,81,43,1981
891,Energie3 Prowatt,39.1,France,Energy & Utilities,2920921,1084371,34,23,2012
892,Billion Dollar Boy,39.1,United Kingdom of Great Britain and Northern Ireland,Advertising & Marketing,20664189,7434819,143,44,2014
893,My Premium Consulting,39.1,France,Employment Services,1802882,669767,11,3,2018
894,CyberIAM,39.1,United Kingdom of Great Britain and Northern Ireland,IT & Software,15652605,5639332,158,61,2017
895,Růžový slon,39,Czechia,Ecommerce,8996202,3150892,63,22,2010
896,Experium Consulting,39,France,IT & Software,3781319,1409354,17,11,2012
897,Local Brand X,38.9,Germany,IT & Software,2936784,1095942,30,13.75,2017
898,Tera Automation,38.8,Italy,Manufacturing,13366515,4996589,37,23,2008
899,Guldberg,38.8,Germany,Employment Services,10774100,4029600,126,54,2017
900,MoreToTrade,38.8,Italy,Ecommerce,2687135,1005087,6,4,2014
901,Non-Stop dogwear,38.8,Norway,Retail,17445066,7046795,56,23,2009
902,AppFollow,38.8,Finland,IT & Software,5905487,2210636,81,73,2015
903,Kumulus Vape,38.7,France,Ecommerce,60029733,22491253,64,46,2012
904,Ingénierie Bois Noroy (IBN),38.7,France,Construction & Engineering,3210320,1203125,19,9,2013
905,Easy Rent Bulgaria,38.7,Bulgaria,Automotive,4801668,1801054,38,18,2013
906,Guzzini & Fontana Projects,38.6,Italy,Construction & Engineering,7359725,2762888,35,16,2015
907,MPB Group,38.6,United Kingdom of Great Britain and Northern Ireland,Ecommerce,199104359,72503213,454,190,2011
908,Ultra Premium Direct,38.6,France,Food & Beverages,55274180,20779890,154,80,2013
909,Sic Europe,38.5,Italy,Logistics & Transportation,38285302,14413543,573,107,2015
910,Litwin Heizung Sanitär,38.5,Germany,Construction & Engineering,3610992,1360088,20,18,2017
911,Deghi,38.4,Italy,Ecommerce,140194212,52846413,356,123,2011
912,Bail Art,38.4,France,Leisure & Entertainment,16523347,6232828,11,5,2009
913,Filippo Uecher,38.4,Italy,Manufacturing,10086406,3807318,22,15,2015
914,NSS,38.2,Italy,Advertising & Marketing,4675824,1770495,22,14,2014
915,Sphera Service,38.2,Italy,IT & Software,2150000,814107,30,15,2016
916,Gruppo Ingegneria,38.2,Italy,Management consulting,5986729,2268558,3,1,1996
917,Booster Box,38.1,Italy,Advertising & Marketing,5364170,2036674,52,25,2016
918,Latitude Investment Management,38,United Kingdom of Great Britain and Northern Ireland,"Fintech, Financial Services & Insurance",4751596,1750465,7,5,2016
919,Novaxia,37.9,France,Real Estate,65639000,25006223,133,58,2006
920,Sonar,37.8,Switzerland,IT & Software,220227000,84114000,504,195,2008
921,Magnitude,37.8,France,Management consulting,4144402,1583314,41,19,2018
922,Pomilio Blumm,37.8,Italy,Advertising & Marketing,44530274,17013929,70,49,1991
923,Gyada Cosmetics,37.8,Italy,Retail,4786372,1829196,10,10,2017
924,Ekom,37.8,Italy,Waste Management & recycling,5747716,2197393,5,2,2015
925,Garibaldi Hotels,37.8,Italy,Hospitality & Travel,13228526,5060420,104,41,2013
926,Chianti Restorations Srl,37.7,Italy,Construction & Engineering,11018849,4215834,37,16,2017
927,Walz Haustechnik,37.7,Germany,Construction & Engineering,3937000,1506646,27,10,1988
928,Hiflylabs,37.6,Hungary,IT & Software,6835566,2771840,44,14,2012
929,ZANATTA media group,37.6,Germany,Advertising & Marketing,21842434,8383589,18,12,2008
930,Boond Manager,37.6,France,IT & Software,9676000,3715631,75,32,2009
931,Seingim,37.6,Italy,Construction & Engineering,35991293,13824313,365,160,1999
932,elite,37.6,Spain,Construction & Engineering,15774131,6060147,62,34,2012
933,Worldwide Fishing Company,37.5,Spain,Food & Beverages,365398648,140442674,66,36,2016
934,Audensiel,37.5,France,"Professional, Scientific & Technical Services",141021000,54266189,1288,630,2013
935,STRATO Personal,37.4,Germany,Employment Services,13141856,5061870,150,98,2010
936,Besharp,37.4,Italy,IT & Software,5895934,2271038,44,24,2011
937,Submarine Burger,37.4,Croatia,Food & Beverages,15255430,5876790,228,119,2014
938,Joytek,37.4,Italy,Mechanical & Plant Engineering,5781897,2227624,40,10,2016
939,Vitamail,37.4,Norway,Ecommerce,14153464,5890268,18,20,2009
940,Wikicasa,37.3,Italy,IT & Software,3621000,1399206,49,17,2016
941,Grupa Blix,37.3,Poland,Advertising & Marketing,11208035,4121074,46,31,2012
942,Pegaso Security,37.2,Italy,"Professional, Scientific & Technical Services",23000000,8900000,800,150,2017
943,Phronema,37.2,Italy,Pharmaceuticals & Cosmetics,3630917,1406405,7,4,2011
944,Strobl Pumpen,37.1,Germany,Mechanical & Plant Engineering,6288800,2442800,14,11,2006
945,Frankfurter Vermögen,37,Germany,"Fintech, Financial Services & Insurance",2891764,1124737,20,11,2017
946,PIK,37,Germany,Electrical Manufacturing,31630000,12312243,134,71,1999
947,Conexio Telecom,36.9,France,Media & Telecommunications,4901052,1908600,34,11,2017
948,Clearcycle,36.9,United Kingdom of Great Britain and Northern Ireland,Retail,5763822,2176367,45,11,2015
949,Etienne Coffee & Shop,36.8,France,Hospitality & Travel,3550045,1385208,11,8,2012
950,Exacon,36.8,Italy,IT & Software,1936750,756108,40,18,2007
951,Anacours,36.8,France,Health Care & Life Sciences,5020297,1962005,55,36,1999
952,Atida eFarma,36.8,Italy,Ecommerce,51547440,20150767,90,31,2017
953,Epidemic Sound,36.7,Sweden,IT & Software,132174963,57280620,506,376,2009
954,SoftFluent,36.7,France,IT & Software,15665473,6128460,112,55,2005
955,Effezeta System,36.7,Italy,Construction & Engineering,13624264,5333554,123,47,2009
956,SOS Accessoire,36.7,France,Ecommerce,37489439,14690408,95,44,2007
957,Humans.Tech,36.6,Italy,IT & Software,2171582,851672,40,11,2015
958,Elmeco,36.6,Italy,Manufacturing,9894888,3883776,22,16,1961
959,Ecocert,36.5,"Netherlands, Kingdom of the","Professional, Scientific & Technical Services",1868000,734000,15,8,2011
960,Novigos Tecno,36.4,Italy,"Professional, Scientific & Technical Services",4020327,1582926,9,10,2017
961,Fimarsud,36.3,Italy,Retail,6019076,2377993,11,8,2012
962,Jifmar Group,36.1,France,Logistics & Transportation,98545000,39056000,371,273,2005
963,O My Bag Amsterdam,36,"Netherlands, Kingdom of the",Apparel & Fashion,6895227,2738220,40,19,2010
964,La Lucerna Educational,36,Italy,Wholesale,5681263,2258075,13,12,1954
965,Meivcore,36,Portugal,"Professional, Scientific & Technical Services",94066738,37393207,308,262,2013
966,Nipe Design,35.9,Italy,Wholesale,3836449,1527058,4,4,2017
967,M.K. Trading,35.9,Italy,Food & Beverages,7742390,3087838,1,1,2013
968,Maraelite,35.8,Hungary,Retail,3144837,1326102,6,4,2016
969,Performa,35.8,Italy,Construction & Engineering,3738368,1492045,15,10,2015
970,2A Engineering,35.8,Italy,"Professional, Scientific & Technical Services",7141722,2850880,53,14,2007
971,Visage Technologies,35.8,Sweden,IT & Software,12830112,5677655,186,99,2002
972,ShopForward,35.8,"Netherlands, Kingdom of the",Advertising & Marketing,8378920,3346853,15,4,2018
973,Covi,35.7,Italy,Manufacturing,8679701,3471550,66,30,2008
974,Pace Automobili,35.7,Italy,Automotive,4579400,1832829,3,2,2019
975,Hydro Pipe Solutions (HPS),35.7,France,Wholesale,9634420,3856171,4,2,2020
976,Facility Management & Construction,35.7,Germany,Construction & Engineering,34810738,13942784,111,90,2011
977,C.G.M. Gruppi Elettrogeni,35.7,Italy,Mechanical & Plant Engineering,52304459,20950990,102,85,2001
978,Nanga Systems,35.6,Germany,IT & Software,8150000,3270000,26,20,2014
979,R&K Ingenieure,35.6,Germany,Construction & Engineering,13686740,5493336,51,16,2016
980,Values.Media,35.6,France,Advertising & Marketing,16639210,6680655,54,33,1990
981,SVS,35.5,Italy,Construction & Engineering,24142795,9694308,20,8,2016
982,Cohérence,35.5,France,Advertising & Marketing,10720000,4305000,63,35,2015
983,Rocksteady Music School,35.5,United Kingdom of Great Britain and Northern Ireland,Education & Social Services,15899277,6190861,336,200,2012
984,Semwerkt,35.5,"Netherlands, Kingdom of the",Advertising & Marketing,2793037,1123371,22,15,2014
985,Parinox,35.5,France,Wholesale,8182326,3292533,42,20,2010
986,MultiBel,35.4,"Netherlands, Kingdom of the",IT & Software,4283673,1725544,26,11,1995
987,Aravati,35.4,France,Employment Services,16559585,6671000,69,50,2004
988,COMAN Software,35.3,Germany,IT & Software,2487113,1003374,27,17,2018
989,Soundtrack Technologies,35.3,Sweden,IT & Software,23967820,10718595,84,69,2014
990,I-Tracing,35.3,France,IT & Software,112093206,45275200,538,234,2005
991,Babylino Sensitive,35.2,Italy,Ecommerce,7046107,2851844,8,4,2016
992,Flash Battery,35.2,Italy,Manufacturing,34375250,13916578,108,81,2020
993,Adopt Parfums,35.2,France,Retail,118250786,47880145,590,520,1986
994,Skills,35.1,Italy,Employment Services,28711555,11654138,200,100,2011
995,IMT Partners,35,France,Employment Services,26697986,10839978,23,12,2013
996,ROUVY,35,Czechia,IT & Software,10621046,4058291,102,38,2013
997,Tappx,35,Spain,Advertising & Marketing,18831108,7656269,82,45,2013
998,Ottica Lipari,35,Italy,Retail,4315021,1754459,10,11,2014
999,Sun Finance,35,Latvia,"Fintech, Financial Services & Insurance",298332820,121306296,1333,819,2017
1000,Deliverti,35,Italy,Ecommerce,3429941,1394703,13,10,2016
