RANK,AZIENDA,TASSO DI CRESCITA,RICAVI 2016,RICAVI 2019,SETTORE,REGIONE,PRESENZE,SITO WEB
1,LMM Logistics,192.572,460,11509,Trasporti & logistica,Piemonte,,www.lmmlogistics.com
2,Gellify S.r.l.,190.32,145,3548,Tecnologia,Emilia Romagna,,www.gellify.com
3,Mg Project S.r.l.,188.389,335,8037,Telecomunicazioni,Lazio,,www.mg-project.com
4,Tmt International S.r.l.,177.319,640,13656,Prodotti industriali,Marche,,www.tmtinternational.it
5,Theras Biocare S.r.l.,174.925,919,19103,Sanità,Toscana,,www.theras-group.com
6,Mercurio S.r.l.,168.982,350,6816,Costruzioni & impiantistica,Lombardia,,www.mercurio-group.com
7,D-Energy S.r.l.,167.683,500,9585,Energia,Lombardia,,www.d-energy.it
8,Mia-Platform,158.259,288,4956,Tecnologia,Lombardia,,www.mia-platform.eu
9,Bending Spoons S.p.A.,151.432,4718,74990,Tecnologia,Lombardia,,bendingspoons.com
10,Saturno Appalti S.r.l.,151.107,252,3994,Costruzioni & impiantistica,Basilicata,,www.saturnoappalti.it
11,S.P.C. General Service S.r.l.,148.381,309,4738,Costruzioni & impiantistica,Sicilia,,www.spcservice.it
12,Bizaway S.r.l.,146.059,222,3305,Viaggi & tempo libero,Friuli Venezia Giulia,,www.bizaway.com
13,Alias Group S.r.l.,144.598,244,3567,Tecnologia,Abruzzo,,www.aliasgroup.it
14,Manitech S.r.l.,142.798,228,3263,Prodotti industriali,Sardegna,,www.manitech.it
15,Messina Autotrasporti S.r.l.,142.026,221,3133,Trasporti & logistica,Lombardia,,messina-autotrasporti.it
16,Frau & Partners S.r.l.,140.136,254,3517,Assicurazioni,Lombardia,,www.frauandpartners.it
17,Morpheus Advisor S.r.l.,138.579,176,2393,Vendita al dettaglio & all'ingrosso,Toscana,,www.apitalianluxury.com
18,Sio S.r.l.,132.369,128,1606,Servizi generali,Lombardia,,www.sio.engineering
19,Valvole Italia S.r.l.,130.934,752,9264,Prodotti industriali,Emilia Romagna,,www.valvoleitalia.it
20,Ubiquicom S.r.l.,129.666,259,3141,Tecnologia,Lombardia,,www.ubiquicom.com
21,Assitech S.r.l,128.865,300,3591,Costruzioni & impiantistica,Veneto,,www.assi.tech
22,Ayes S.r.l.,126.067,724,8365,Tecnologia,Lombardia,,www.ayesconsulting.com
23,Soprano S.r.l.,125.497,460,5269,Prodotti industriali,Veneto,,www.sopranowater.com
24,Sistemi Sanitari S.r.l.,125.396,180,2064,Sanità,Emilia Romagna,,n/a
25,Mec.Line S.r.l.,122.91,644,7133,Arredamento,Puglia,,www.comodoitalia.it
26,Top Fish S.r.l. Unipersonale,122.174,402,4409,Alimentari & bevande,Campania,,www.topfish.it
27,Blife S.r.l.,121.933,239,2607,Alimentari & bevande,Lazio,,www.laboutiquedelbiologico.it
28,Transporent S.r.l.,121.812,292,3187,Trasporti & logistica,Puglia,,www.transporentsrl.it
29,Reinagreen Italia S.r.l.,121.545,182,1982,Alimentari & bevande,Veneto,,www.reinagreen.com
30,Instilla S.r.l.,121.483,198,2156,Pubblicità & marketing,Lombardia,,www.instilla.it
31,Atecnica S.r.l.s,121.116,185,2000,E-commerce,Abruzzo,,www.atecnica.it
32,Green Building Sustainable S.r.l. (Design & Realization),120.393,220,2356,Arredamento,Puglia,,www.designerealization.com
33,Sixth Sense S.r.l.,119.911,246,2611,Tecnologia,Lazio,,www.sixth-sense.ai
34,Wakala S.r.l.,117.195,297,3045,Tecnologia,Lazio,,www.wakala.it
35,Zara S.r.l.,117.099,166,1697,Prodotti industriali,Marche,,zaraimballaggi.nwksite.com
36,Contrader S.r.l.,116.06,253,2549,Tecnologia,Campania,,contrader.it
37,Pharma Niche Products S.r.l.,115.563,1082,10838,Farmaceutica,Emilia Romagna,,www.pharmaniche.it
38,Idrowatt Italia S.r.l.,115.443,150,1500,Prodotti industriali,Puglia,,n/a
39,Green Team S.r.l.,114.998,194,1926,Energia,Piemonte,,www.greenteamsrl.com
40,Arte E Passione S.r.l.,112.76,237,2285,Ristoranti,Lazio,,www.artepassioneristorazione.it
41,Mpfinance S.r.l.,110.945,426,4002,Costruzioni & impiantistica,Sardegna,,www.mpfinance.it
42,Everli (S24 S.p.A.),110.707,3100,29000,E-commerce,Lombardia,,it.everli.com
43,Ab Costruzioni S.r.l.,110.007,167,1545,Costruzioni & impiantistica,Piemonte,,www.abcostruzioni.it
