ID,NOME,RUOLO,AZIENDA,SITO_WEB,DATA_ORIGIN,LINKEDIN_URL,CONFIDENZA,FONTE,DATA_RICERCA
b904da54-8ed3-416b-8565-8be573c87197,Cenk Celep,Leiter Verwaltung (Head of Administration),Rail Unit GmbH,https://rail-unit.de,imported,https://www.linkedin.com/in/ceyhun-celep/,high,agent,2026-03-14
c3c4ba1f-79fe-46c8-9eba-80bb2c20bf9b,Tobias Hübner,Co-Founder & CEO,barely digital GmbH & Co. KG,https://barely.digital,imported,,,not_found,2026-03-14
